method,image_index,global_ciede2000_mean,patch_ciede2000_mean,patch_ciede2000_p95,top10_patch_ciede2000,max_patch_ciede2000,mean_signed_delta_a,mean_signed_delta_b,worst_patch_x,worst_patch_y,worst_patch_size
Hard Patch16 stride8 Top10,2,3.4989986419677734,3.5509793758392334,4.854959487915039,4.944817066192627,6.531841278076172,-0.26214689016342163,0.2810095548629761,39,58,5
Hard Patch16 stride8 Top10,3,4.028998374938965,4.099366188049316,5.416152119636536,5.520200729370117,7.323976039886475,-0.2170572429895401,0.3051254451274872,72,90,5
Hard Patch16 stride8 Top10,4,3.3951187133789062,3.4531681537628174,4.886123895645142,4.96370792388916,6.319079399108887,-0.4853169322013855,0.5382291078567505,39,58,5
Hard Patch16 stride8 Top10,5,3.641507148742676,3.6893651485443115,5.117996096611023,5.215174674987793,6.646484375,-0.6194418668746948,0.4588547348976135,56,27,5
Hard Patch16 stride8 Top10,6,3.250412702560425,3.2782480716705322,4.609012007713318,4.717546463012695,6.550201892852783,0.2398483008146286,-0.027701430022716522,38,51,5
Hard Patch16 stride8 Top10,7,3.38326358795166,3.44762921333313,4.963103294372559,5.055723667144775,6.550497055053711,-0.2306828647851944,0.3651588559150696,90,87,5
Hard Patch16 stride8 Top10,8,4.441585540771484,4.535702228546143,5.808140754699707,5.882203102111816,7.4163384437561035,-0.5637345314025879,0.7470568418502808,72,74,5
Hard Patch16 stride8 Top10,9,3.62823748588562,3.67879581451416,5.276868939399719,5.387155532836914,7.59334659576416,-0.7821884751319885,0.5937120318412781,24,90,5
Hard Patch16 stride8 Top10,10,4.204596519470215,4.266275405883789,5.4769487380981445,5.562690258026123,7.378154754638672,0.15530171990394592,0.22548674046993256,55,74,5
Hard Patch16 stride8 Top10,11,3.579124927520752,3.640845537185669,5.012253642082214,5.078487396240234,6.326681613922119,-0.038067564368247986,0.05657483637332916,41,26,5
Hard Patch16 stride8 Top10,12,3.8720133304595947,3.944483757019043,5.146843433380127,5.2615766525268555,7.083745002746582,-0.3048056960105896,0.40154433250427246,39,58,5
Hard Patch16 stride8 Top10,13,3.4104061126708984,3.443647623062134,4.760579228401184,4.847738742828369,6.315338134765625,-0.7419899106025696,0.7167771458625793,89,18,5
Hard Patch16 stride8 Top10,14,3.0041143894195557,3.0546443462371826,4.220940113067627,4.3151679039001465,5.8074822425842285,-0.6501325964927673,0.6713811159133911,26,27,5
Hard Patch16 stride8 Top10,15,3.4972939491271973,3.5480759143829346,5.264520287513733,5.414008617401123,8.681550025939941,-0.32038167119026184,0.2416306436061859,72,115,5
Hard Patch16 stride8 Top10,16,3.750082492828369,3.826552391052246,5.237066626548767,5.324711322784424,7.254692554473877,0.09443341195583344,0.14156711101531982,71,74,5
Hard Patch16 stride8 Top10,17,2.965432643890381,3.022589921951294,4.543800354003906,4.650096416473389,6.307763576507568,-0.26510271430015564,0.3222390115261078,55,106,5
Hard Patch16 stride8 Top10,18,3.225295066833496,3.2358241081237793,5.207411766052246,5.3253068923950195,7.17703914642334,-0.6434376239776611,0.5696319341659546,89,43,5
Hard Patch16 stride8 Top10,19,2.9665892124176025,2.9605894088745117,4.978663325309753,5.162015438079834,7.993203639984131,-0.7946183681488037,0.5415147542953491,56,20,5
Hard Patch16 stride8 Top10,20,3.2462010383605957,3.300813913345337,4.621971964836121,4.746673583984375,6.463595390319824,-0.11314654350280762,0.03936377912759781,103,42,5
Hard Patch16 stride8 Top10,21,3.518433094024658,3.540600061416626,5.48830771446228,5.623794078826904,8.099601745605469,0.44609326124191284,0.2897745966911316,8,74,5
Hard Patch16 stride8 Top10,22,3.2514071464538574,3.2842419147491455,4.834337592124939,4.912910461425781,6.615591526031494,0.21780556440353394,0.010188194923102856,49,98,5
Hard Patch16 stride8 Top10,23,2.8891875743865967,2.9403481483459473,4.955708980560303,5.055550575256348,6.723501682281494,-0.5112876296043396,0.4131026864051819,57,45,5
Hard Patch16 stride8 Top10,24,3.0708374977111816,3.1209371089935303,4.400332808494568,4.5236616134643555,6.715423583984375,-0.3554534316062927,0.48048388957977295,105,50,5
Hard Patch16 stride8 Top10,25,3.6055755615234375,3.626404285430908,5.016707420349121,5.124611854553223,6.953990459442139,-1.0274957418441772,0.7651321291923523,80,80,5
Hard Patch16 stride8 Top10,26,4.304143905639648,4.367094993591309,5.877211928367615,5.962524890899658,7.901976108551025,-0.25939542055130005,0.02321590483188629,82,53,5
Hard Patch16 stride8 Top10,27,3.056133985519409,3.127530574798584,5.207988858222961,5.304442405700684,7.0716376304626465,-0.2653427720069885,0.41289281845092773,103,106,5
Hard Patch16 stride8 Top10,28,3.579120635986328,3.6110405921936035,4.912699103355408,5.000505447387695,6.9245147705078125,-0.5252748727798462,0.7269902229309082,42,52,5
Hard Patch16 stride8 Top10,29,3.6729702949523926,3.733095645904541,4.968613624572754,5.079160690307617,7.50563907623291,-0.4931887090206146,0.4783813953399658,87,42,5
Hard Patch16 stride8 Top10,30,3.8993520736694336,3.9606966972351074,5.07098913192749,5.167708873748779,7.111454963684082,-0.3571566939353943,0.3939959704875946,56,90,5
Hard Patch16 stride8 Top10,31,3.2543914318084717,3.3080356121063232,4.550931096076965,4.641653537750244,6.37714958190918,-0.17463476955890656,0.22316326200962067,103,106,5
Hard Patch16 stride8 Top10,32,3.3008804321289062,3.3382437229156494,4.537644028663635,4.622834205627441,6.579581260681152,-0.5188969373703003,0.5219442844390869,88,90,5
Hard Patch16 stride8 Top10,33,4.188820838928223,4.237053871154785,5.5149654150009155,5.605508804321289,7.126862049102783,-0.12681597471237183,0.3013571500778198,39,90,5
Hard Patch16 stride8 Top10,34,3.8891677856445312,3.961681604385376,5.372433185577393,5.4690117835998535,7.051487922668457,-0.4335460662841797,0.5564650297164917,58,28,5
Hard Patch16 stride8 Top10,35,3.6111462116241455,3.6646676063537598,5.574212670326233,5.724216938018799,8.079622268676758,0.0515136644244194,0.21546855568885803,43,50,5
Hard Patch16 stride8 Top10,36,3.793592691421509,3.849616289138794,5.217273592948914,5.28894567489624,6.878859043121338,-0.07137781381607056,0.30809101462364197,29,120,5
Hard Patch16 stride8 Top10,37,2.687875270843506,2.685842514038086,3.804130792617798,3.9295907020568848,5.382981777191162,-0.8107917308807373,0.7217769622802734,70,6,5
Hard Patch16 stride8 Top10,38,2.964035987854004,2.964064836502075,5.140592336654663,5.237138748168945,6.90511417388916,0.8776309490203857,0.6609035730361938,45,74,5
Hard Patch16 stride8 Top10,39,2.9330742359161377,3.0016117095947266,4.506524443626404,4.626515865325928,6.666654109954834,0.28833019733428955,-0.06566394865512848,88,75,5
Hard Patch16 stride8 Top10,40,3.802788734436035,3.85606050491333,5.1892125606536865,5.296336650848389,7.560140609741211,-0.2568487823009491,0.3774476945400238,77,80,5
Hard Patch16 stride8 Top10,41,1.933214545249939,1.9414080381393433,3.407601833343506,3.5018019676208496,5.970320224761963,-0.6547560691833496,0.674342691898346,9,76,5
Hard Patch16 stride8 Top10,42,3.581131935119629,3.6611974239349365,5.037041902542114,5.123863220214844,6.830234527587891,-0.4452095627784729,0.4476815164089203,34,99,5
Hard Patch16 stride8 Top10,43,4.059480667114258,4.093377590179443,5.14943265914917,5.236910343170166,6.654794692993164,-0.3648841381072998,0.19396284222602844,40,74,5
Hard Patch16 stride8 Top10,44,2.615022659301758,2.6502113342285156,4.648415803909302,4.758547306060791,6.767246246337891,-0.49976640939712524,0.48661625385284424,71,58,5
Hard Patch16 stride8 Top10,45,3.4797606468200684,3.516779899597168,4.742556929588318,4.839081764221191,6.581665515899658,-0.628160297870636,0.4609915614128113,71,106,5
Hard Patch16 stride8 Top10,46,3.781092643737793,3.801164150238037,4.772892713546753,4.85039758682251,7.020519256591797,-0.5571441650390625,0.4783034324645996,54,71,5
Hard Patch16 stride8 Top10,47,3.7686429023742676,3.8560678958892822,5.202381610870361,5.290574073791504,6.709346771240234,-0.5626874566078186,0.6429805159568787,34,68,5
Hard Patch16 stride8 Top10,48,3.7644336223602295,3.8020544052124023,5.292791128158569,5.383500576019287,7.215336799621582,-0.437687486410141,0.41188058257102966,22,98,5
Hard Patch16 stride8 Top10,49,3.6482644081115723,3.7247962951660156,5.084951400756836,5.202466011047363,7.519172191619873,-0.7078794836997986,0.739956259727478,39,90,5
