model,image_index,global_mse,patch_mean_mse,top10_patch_mse,top25_patch_mse,max_patch_mse,patch_mse_std,patch_mse_cv,worst_global_ratio,max_global_ratio,local_ssim_top25,local_ssim_worst,local_lpips_top25,local_lpips_worst
Crop-trained Global,17,0.0012213006848469377,0.0012213008012622595,0.0015320490347221494,0.0014850635780021548,0.0015568988164886832,0.00020094789215363562,0.16453596949577332,1.2159688472747803,1.274787425994873,0.7700141668319702,0.7576475143432617,0.003163801971822977,0.0046165818348526955
Crop-trained Global,18,0.0014797226758673787,0.0014797225594520569,0.001879634102806449,0.0017816132167354226,0.0018963897600769997,0.0002123795129591599,0.1435265690088272,1.2040183544158936,1.281584620475769,0.9530881643295288,0.945023238658905,0.0020767280366271734,0.0037160697393119335
Crop-trained Global,19,0.0021643242798745632,0.0021643242798745632,0.0030035441741347313,0.0027016233652830124,0.003582702949643135,0.0004555242776405066,0.21046951413154602,1.2482526302337646,1.655344843864441,0.9468491077423096,0.939828634262085,0.0009262424428015947,0.001210406539030373
Crop-trained Global,20,0.0011482852278277278,0.001148285111412406,0.0012623483780771494,0.0012452495284378529,0.0012820609845221043,9.45951251196675e-05,0.08237946778535843,1.0844427347183228,1.1165004968643188,0.9182831048965454,0.8978487849235535,0.0014614852843806148,0.001842775964178145
Crop-trained Global,21,0.002110867528244853,0.0021108672954142094,0.0026893424801528454,0.002564362483099103,0.002831321908161044,0.00044706600601784885,0.21179254353046417,1.2148381471633911,1.341307282447815,0.9213697910308838,0.8725007176399231,0.0015372424386441708,0.0019775889813899994
Crop-trained Global,22,0.0014961102278903127,0.0014961102278903127,0.0018444233573973179,0.0017642256570979953,0.0019588300492614508,0.0002045846194960177,0.13674435019493103,1.1792083978652954,1.3092819452285767,0.8923624157905579,0.8837724328041077,0.006039216183125973,0.007136019412428141
Crop-trained Global,23,0.0015249084681272507,0.0015249084681272507,0.0017736146692186594,0.0017178532434627414,0.0017902847612276673,0.00014762277714908123,0.09680762887001038,1.1265287399291992,1.174027681350708,0.8129944205284119,0.7828891277313232,0.0020367978140711784,0.0024383938871324062
Crop-trained Global,24,0.001249779132194817,0.001249779132194817,0.0014792471192777157,0.001463483669795096,0.0014849401777610183,0.00015290503506548703,0.12234564870595932,1.1709938049316406,1.188162088394165,0.8856706619262695,0.8757338523864746,0.0007111801533028483,0.0008064589346759021
Crop-trained Global,25,0.0013337061973288655,0.0013337060809135437,0.0020942180417478085,0.0018907771445810795,0.00216279155574739,0.00037548792897723615,0.2815372049808502,1.4176864624023438,1.6216402053833008,0.8801184892654419,0.8665850758552551,0.004050235264003277,0.004887472838163376
Crop-trained Global,26,0.0014559924602508545,0.0014559924602508545,0.0017763165524229407,0.0017278388841077685,0.0018252060981467366,0.00019400166638661176,0.133243590593338,1.186708688735962,1.2535821199417114,0.8851479887962341,0.8632041811943054,0.003956675063818693,0.004547301679849625
Crop-trained Global,27,0.0013826709473505616,0.0013826710637658834,0.0016736520919948816,0.001613512053154409,0.0017465046839788556,0.000183502517757006,0.13271597027778625,1.1669530868530273,1.2631382942199707,0.7991352081298828,0.7860729694366455,0.0013720863498747349,0.002264403970912099
Crop-trained Global,28,0.001238852390088141,0.001238852390088141,0.0015644743107259274,0.0014834378380328417,0.0016060281777754426,0.00016102266090456396,0.1299772709608078,1.1974290609359741,1.2963838577270508,0.9153734445571899,0.8996469974517822,0.0028358050622045994,0.004546767566353083
Crop-trained Global,29,0.0010749035282060504,0.0010749036446213722,0.0014094659127295017,0.001345506520010531,0.0014332025311887264,0.00020810672140214592,0.19360502064228058,1.2517462968826294,1.3333313465118408,0.9172115325927734,0.9035342335700989,0.0035517667420208454,0.004849530290812254
Crop-trained Global,30,0.0011003005784004927,0.0011003005784004927,0.001305200275965035,0.001281156437471509,0.001307824975810945,0.0001506178523413837,0.13688790798187256,1.1643694639205933,1.1886069774627686,0.956581711769104,0.9512288570404053,0.0009069262305274606,0.001366670592688024
Crop-trained Global,31,0.0012213189620524645,0.0012213189620524645,0.001433266792446375,0.0013776281848549843,0.001469497918151319,0.00013884097279515117,0.11368117481470108,1.1279839277267456,1.2032057046890259,0.9590511322021484,0.9521799683570862,0.0019884754437953234,0.002492179162800312
Crop-trained Global,32,0.0011701424373313785,0.0011701424373313785,0.0012890181969851255,0.0012560274917632341,0.001331392559222877,6.854057573946193e-05,0.058574557304382324,1.0733970403671265,1.1378037929534912,0.8451516628265381,0.8197253346443176,0.0019840265158563852,0.003470715833827853
Crop-trained Global,33,0.0012337270891293883,0.0012337269727140665,0.0013798095751553774,0.00137312151491642,0.0013838522136211395,0.00010837861918844283,0.08784651011228561,1.112986445426941,1.121684193611145,0.8934105634689331,0.8885207772254944,0.005540031008422375,0.007611803710460663
Crop-trained Global,34,0.0012129723327234387,0.0012129723327234387,0.001377176959067583,0.001345822704024613,0.001409551128745079,0.0001241402787854895,0.10234386473894119,1.1095246076583862,1.162063717842102,0.9193556904792786,0.8436422944068909,0.0020837876945734024,0.002544071525335312
Crop-trained Global,35,0.001804722473025322,0.0018047225894406438,0.002864006208255887,0.002614381955936551,0.0032980386167764664,0.0006010241340845823,0.33302855491638184,1.4486337900161743,1.8274492025375366,0.8505255579948425,0.8453371524810791,0.007449038326740265,0.008219115436077118
Crop-trained Global,36,0.001263045589439571,0.001263045473024249,0.0014150673523545265,0.0014015698106959462,0.0014370608842000365,0.00011136855027871206,0.08817461133003235,1.1096748113632202,1.1377743482589722,0.9408523440361023,0.9332337379455566,0.004604789894074202,0.005727445241063833
Crop-trained Global,37,0.0016183363040909171,0.0016183361876755953,0.0019420532044023275,0.001869810395874083,0.001992572797462344,0.00018937244021799415,0.1170167401432991,1.1553905010223389,1.2312476634979248,0.9184258580207825,0.8950210213661194,0.0005641537718474865,0.0005885072750970721
Crop-trained Global,38,0.0023974315263330936,0.0023974315263330936,0.003046690486371517,0.002960457932204008,0.003072580322623253,0.0004845566872972995,0.20211492478847504,1.2348456382751465,1.2816133499145508,0.8833481073379517,0.8414096832275391,0.001326032797805965,0.002477081259712577
Crop-trained Global,39,0.0014406029367819428,0.0014406029367819428,0.0018060437869280577,0.0016592497704550624,0.0018786649452522397,0.0001642961142351851,0.11404677480459213,1.151774525642395,1.3040823936462402,0.866847038269043,0.8422005772590637,0.008070754818618298,0.008535953238606453
Crop-trained Global,40,0.0013376498827710748,0.0013376499991863966,0.0015634170267730951,0.0015005404129624367,0.0016562711680307984,0.00012720594531856477,0.09509659558534622,1.1217737197875977,1.2381948232650757,0.9660072326660156,0.9636637568473816,0.0013264850713312626,0.0013455819571390748
Crop-trained Global,41,0.0019983777310699224,0.001998377498239279,0.0026110855396836996,0.0024338201619684696,0.0026297494769096375,0.00030939216958358884,0.15482166409492493,1.2178980112075806,1.3159421682357788,0.7470178604125977,0.7378275990486145,0.0017215319676324725,0.0018520703306421638
Crop-trained Global,42,0.00114828918594867,0.0011482893023639917,0.0013632227201014757,0.0013336874544620514,0.0013663498684763908,0.00016428681556135416,0.14307093620300293,1.1614561080932617,1.189900517463684,0.8775231838226318,0.8660075068473816,0.0014353706501424313,0.0019855813588947058
Crop-trained Global,43,0.001467101857997477,0.001467101857997477,0.0017595423851162195,0.0016981898806989193,0.001766112050972879,0.00016387137293349952,0.11169733852148056,1.1575132608413696,1.2038100957870483,0.8021654486656189,0.7926083207130432,0.004047487862408161,0.004291598219424486
Crop-trained Global,44,0.0016052117571234703,0.0016052116407081485,0.0021022155415266752,0.0019673474598675966,0.0021748628932982683,0.0003423078160267323,0.21324776113033295,1.225600004196167,1.3548760414123535,0.8424213528633118,0.8271875977516174,0.0007141996757127345,0.0007821282488293946
Crop-trained Global,45,0.0010734089883044362,0.0010734089883044362,0.0013088895939290524,0.0012674920726567507,0.0013194628991186619,0.00016293641238007694,0.15179340541362762,1.1808099746704102,1.2292265892028809,0.9115427136421204,0.8952460885047913,0.0013136145425960422,0.002105697523802519
Crop-trained Global,46,0.001926775206811726,0.001926775323227048,0.0021728461142629385,0.002108267042785883,0.0022055786103010178,0.00015410073683597147,0.0799785777926445,1.0941946506500244,1.1446994543075562,0.9710167646408081,0.9703137278556824,0.0020908976439386606,0.00221466226503253
Crop-trained Global,47,0.0010856660082936287,0.0010856660082936287,0.0012621830683201551,0.0012396583333611488,0.0012706165434792638,0.00011072445340687409,0.10198758542537689,1.1418412923812866,1.1703567504882812,0.8531840443611145,0.8485972285270691,0.005006198305636644,0.006288982927799225
Crop-trained Global,48,0.0015859609702602029,0.0015859609702602029,0.0019117237534373999,0.0018640572670847178,0.0019153328612446785,0.0002548904740251601,0.16071674227714539,1.1753487586975098,1.2076797485351562,0.9570445418357849,0.9554951786994934,0.002013035351410508,0.0024172626435756683
Crop-trained Global,49,0.0012497100979089737,0.0012497099814936519,0.0015386638697236776,0.0014350904384627938,0.001620605238713324,0.00013444175419863313,0.1075783520936966,1.1483386754989624,1.2967849969863892,0.8908107280731201,0.868861734867096,0.001748403999954462,0.0022963546216487885
Patch16 top25 weight50,0,0.0012755924835801125,0.0012755924835801125,0.0015993437264114618,0.001498748897574842,0.0016498988261446357,0.00017332143033854663,0.13587523996829987,1.1749433279037476,1.2934372425079346,0.871893584728241,0.8670105338096619,0.0018909188220277429,0.0022607489954680204
