method,image_index,crop_ratio,repeat,protected_bits,raw_ber,raw_bit_accuracy,detection_success,exact_decode_success,ecc_corrected_success,schema,logit_mean,logit_abs_mean
TrustMark Q,6,30%,4,100,0.24,0.76,0,0,0,-1,0.196630597114563,1.4374489784240723
TrustMark Q,7,100%,0,100,0.0,1.0,1,1,1,1,-0.2904231548309326,10.16956901550293
TrustMark Q,7,100%,1,100,0.0,1.0,1,1,1,1,-0.2904231548309326,10.16956901550293
TrustMark Q,7,100%,2,100,0.0,1.0,1,1,1,1,-0.2904231548309326,10.16956901550293
TrustMark Q,7,100%,3,100,0.0,1.0,1,1,1,1,-0.2904231548309326,10.16956901550293
TrustMark Q,7,100%,4,100,0.0,1.0,1,1,1,1,-0.2904231548309326,10.16956901550293
TrustMark Q,7,70%,0,100,0.0,1.0,1,1,1,1,-0.08574659377336502,8.331860542297363
TrustMark Q,7,70%,1,100,0.0,1.0,1,1,1,1,0.1493106335401535,8.705953598022461
TrustMark Q,7,70%,2,100,0.0,1.0,1,1,1,1,0.12405446171760559,8.944546699523926
TrustMark Q,7,70%,3,100,0.0,1.0,1,1,1,1,0.10149765014648438,8.58577823638916
TrustMark Q,7,70%,4,100,0.0,1.0,1,1,1,1,0.10160554945468903,8.911592483520508
TrustMark Q,7,50%,0,100,0.02,0.98,1,1,1,1,-0.03242183104157448,6.253832817077637
TrustMark Q,7,50%,1,100,0.01,0.99,1,1,1,1,0.006093311123549938,6.898921966552734
TrustMark Q,7,50%,2,100,0.01,0.99,1,1,1,1,-0.06096711754798889,6.95865535736084
TrustMark Q,7,50%,3,100,0.09,0.91,0,0,0,-1,0.07604752480983734,4.1220316886901855
TrustMark Q,7,50%,4,100,0.04,0.96,1,1,1,1,-0.09848090261220932,5.853736400604248
TrustMark Q,7,40%,0,100,0.06,0.94,0,0,0,-1,0.11846756190061569,4.995108127593994
TrustMark Q,7,40%,1,100,0.07,0.9299999999999999,0,0,0,-1,0.3203166723251343,4.223007678985596
TrustMark Q,7,40%,2,100,0.19,0.81,0,0,0,-1,0.10834226757287979,2.412510633468628
TrustMark Q,7,40%,3,100,0.08,0.92,0,0,0,-1,0.21216712892055511,3.3923773765563965
TrustMark Q,7,40%,4,100,0.09,0.91,0,0,0,-1,0.2224801778793335,4.028318881988525
TrustMark Q,7,30%,0,100,0.2,0.8,0,0,0,-1,0.050078969448804855,1.4162275791168213
TrustMark Q,7,30%,1,100,0.16,0.84,0,0,0,-1,-0.06781480461359024,2.491546869277954
TrustMark Q,7,30%,2,100,0.13,0.87,0,0,0,-1,0.0635918602347374,2.5706124305725098
TrustMark Q,7,30%,3,100,0.17,0.83,0,0,0,-1,0.09942798316478729,1.6718363761901855
TrustMark Q,7,30%,4,100,0.21,0.79,0,0,0,-1,-0.027995970100164413,1.7174439430236816
TrustMark Q,8,100%,0,100,0.0,1.0,1,1,1,1,1.7939563989639282,9.140644073486328
TrustMark Q,8,100%,1,100,0.0,1.0,1,1,1,1,1.7939563989639282,9.140644073486328
TrustMark Q,8,100%,2,100,0.0,1.0,1,1,1,1,1.7939563989639282,9.140644073486328
TrustMark Q,8,100%,3,100,0.0,1.0,1,1,1,1,1.7939563989639282,9.140644073486328
TrustMark Q,8,100%,4,100,0.0,1.0,1,1,1,1,1.7939563989639282,9.140644073486328
TrustMark Q,8,70%,0,100,0.0,1.0,1,1,1,1,1.1700913906097412,6.818470001220703
TrustMark Q,8,70%,1,100,0.0,1.0,1,1,1,1,1.2124783992767334,7.062139511108398
TrustMark Q,8,70%,2,100,0.0,1.0,1,1,1,1,1.5512994527816772,7.859302997589111
TrustMark Q,8,70%,3,100,0.0,1.0,1,1,1,1,1.2858664989471436,6.490658760070801
TrustMark Q,8,70%,4,100,0.0,1.0,1,1,1,1,1.3006762266159058,7.737910270690918
TrustMark Q,8,50%,0,100,0.02,0.98,1,1,1,1,1.0009804964065552,3.744999647140503
TrustMark Q,8,50%,1,100,0.07,0.9299999999999999,0,0,0,-1,0.8835259079933167,4.395691871643066
TrustMark Q,8,50%,2,100,0.04,0.96,1,1,1,1,0.7366886734962463,4.411311149597168
TrustMark Q,8,50%,3,100,0.03,0.97,1,1,1,1,0.6934875249862671,4.033033847808838
TrustMark Q,8,50%,4,100,0.08,0.92,0,0,0,-1,0.5291711688041687,4.168931007385254
TrustMark Q,8,40%,0,100,0.1,0.9,0,0,0,-1,0.6239551305770874,2.779367685317993
TrustMark Q,8,40%,1,100,0.11,0.89,0,0,0,-1,0.9121742844581604,2.942145347595215
TrustMark Q,8,40%,2,100,0.17,0.83,0,0,0,-1,0.5344123244285583,2.417968511581421
TrustMark Q,8,40%,3,100,0.11,0.89,0,0,0,-1,0.6208336353302002,2.497997999191284
TrustMark Q,8,40%,4,100,0.11,0.89,0,0,0,-1,0.5737650394439697,3.2319183349609375
TrustMark Q,8,30%,0,100,0.21,0.79,0,0,0,-1,0.3107161819934845,1.3285847902297974
TrustMark Q,8,30%,1,100,0.14,0.86,0,0,0,-1,0.4375397861003876,2.1882619857788086
TrustMark Q,8,30%,2,100,0.19,0.81,0,0,0,-1,0.5922155976295471,1.8812710046768188
TrustMark Q,8,30%,3,100,0.16,0.84,0,0,0,-1,0.4310398995876312,1.607136845588684
TrustMark Q,8,30%,4,100,0.21,0.79,0,0,0,-1,0.23275251686573029,1.6124145984649658
TrustMark Q,9,100%,0,100,0.01,0.99,1,1,1,1,-0.04636622592806816,6.57575798034668
TrustMark Q,9,100%,1,100,0.01,0.99,1,1,1,1,-0.04636622592806816,6.57575798034668
TrustMark Q,9,100%,2,100,0.01,0.99,1,1,1,1,-0.04636622592806816,6.57575798034668
TrustMark Q,9,100%,3,100,0.01,0.99,1,1,1,1,-0.04636622592806816,6.57575798034668
