image_id,validation_index,source_filename,delta_local_psnr,delta_p95,max_positive_d_patch,positive_d_patch_area,top10_residual_reduction,roi_mse_improvement,roi_x,roi_y,roi_size,roi32_improvement,roi40_improvement,roi48_improvement,roi64_improvement,patch_mse_base_mean,patch_mse_ours_mean,semantic_proxy_mean_rgb,semantic_proxy_texture,rank,content_diversity_distance
0849,48,0849.png,1.1207355144668583,0.00022690635523758829,0.0002437637303955853,1.0,0.004298124462366104,0.0002617246063891798,12,28,32,0.0002617246063891798,0.00025759026408195496,0.000239275809791353,0.00022306328173726797,0.000812642159871757,0.0006365465233102441,0.39030250906944275,0.07187360525131226,11,
0841,40,0841.png,1.1074060159880332,0.0001712986995698884,0.00020109853358007967,1.0,0.004368871450424194,0.00024683267110958695,60,12,32,0.00024683267110958695,0.00022750692442059518,0.0002087156753987074,0.00019042387430090457,0.0006340735708363354,0.0004947173874825239,0.2665790617465973,0.02992689236998558,12,
0834,33,0834.png,1.0555441586492122,0.00018597977759782225,0.00021698384080082178,0.9375,0.0034053288400173187,0.0002440226380713284,40,92,32,0.0002440226380713284,0.0002391350269317627,0.00022533595458500914,0.00019800112931989133,0.000667945365421474,0.0005425008130259812,0.5834912657737732,0.03353475034236908,13,
0815,14,0815.png,1.0481735225219424,0.00019319489365443587,0.0002445797435939312,1.0,0.004637684673070908,0.0002634789049625397,44,72,40,0.0002616624115034938,0.0002634789049625397,0.0002543241199519899,0.00022925951634533703,0.0007625400903634727,0.0005808154819533229,0.3568512499332428,0.039585791528224945,14,
0837,36,0837.png,1.0046773312864836,0.00018357881344854832,0.00018556107534095645,1.0,0.004256047308444977,0.00022274731600191444,60,20,32,0.00022274731600191444,0.00021961830556392668,0.0002001198267357217,0.00019293052901048213,0.0007141392561607063,0.0005598317366093397,0.31678441166877747,0.05047079175710678,15,
0835,34,0835.png,0.9713517181484477,0.0001774893025867641,0.00020261562895029783,1.0,0.004028428345918655,0.0001862012967467308,8,76,40,0.00018609636754263192,0.0001862012967467308,0.00017184934889276823,0.00016298900300171226,0.0006522238836623728,0.0005109889898449183,0.37259089946746826,0.03852778673171997,16,
0843,42,0843.png,0.9207163694329026,0.00013021299673710018,0.00016452244017273188,1.0,0.003075782209634781,0.0001920636568684131,48,32,32,0.0001920636568684131,0.00019143957644701003,0.00017516221851110458,0.0001478960330132395,0.000580594758503139,0.00047699076822027564,0.1370130032300949,0.015309132635593414,17,
0845,44,0845.png,0.9126103034232358,0.00013278279220685363,0.00015372433699667454,1.0,0.0029487572610378265,0.00019036815501749516,80,44,32,0.00019036815501749516,0.0001815740205347538,0.00016132126458817057,0.0001378395827487111,0.0006171161076053977,0.0005038807867094874,0.6150886416435242,0.036584313958883286,18,
0805,4,0805.png,0.9102724809803355,0.00011770029959734529,0.0001874936860986054,1.0,0.0036318227648735046,0.0002253259881399572,56,80,32,0.0002253259881399572,0.00021807869896292687,0.0001933835188133849,0.00016152588068507612,0.0006012404337525368,0.00047152882325462997,0.5749167203903198,0.039211541414260864,19,
0833,32,0833.png,0.8824347521021672,0.0001855017035268247,0.00020579691044986248,1.0,0.00365288183093071,0.00022497837198898196,28,24,32,0.00022497837198898196,0.00021936582401394845,0.00019178997414807478,0.00017837101768236607,0.0007592486217617989,0.0006190098938532174,0.6849210858345032,0.029190383851528168,20,
0846,45,0846.png,0.8811863635124055,0.00012065422197338194,0.0001570340828038752,1.0,0.0035132430493831635,0.00018881773576140404,20,44,32,0.00018881773576140404,0.0001854083128273487,0.00016763510130759742,0.0001497000630479306,0.0005512783536687493,0.00043961286428384483,0.5315220952033997,0.034967757761478424,21,
0842,41,0842.png,0.860520652738451,0.000147925631608814,0.00022597386850975454,1.0,0.002993326634168625,0.0002603234024718404,40,76,32,0.0002603234024718404,0.0002498871460556984,0.00023539110811220275,0.00019359641009941697,0.0006228702259249985,0.000506517244502902,0.6015847325325012,0.03774707019329071,22,
