comparison,method,epoch,grid,metric,value
final,Hard stride8 Top25,20,32,lpips_median,0.00047642458230257034
final,Hard stride8 Top25,20,32,lpips_top10_mean,0.0012927381321787834
final,Hard stride8 Top25,20,32,lpips_p90,0.0010523323668166996
final,Hard stride8 Top25,20,32,lpips_p95,0.001364136184565722
final,Hard stride8 Top25,20,32,lpips_max_mean,0.0014647245407104492
final,Hard stride8 Top25,20,32,lpips_tail_gap,0.0008163137827068567
final,Hard stride8 Top25,20,32,ssim_mean,0.9522051811218262
final,Hard stride8 Top25,20,32,ssim_median,0.9542276859283447
final,Hard stride8 Top25,20,32,ssim_bottom10_mean,0.9206298589706421
final,Hard stride8 Top25,20,32,ssim_p10,0.9017160058021545
final,Hard stride8 Top25,20,32,ssim_min_mean,0.9162927269935608
final,Hard stride8 Top25,20,32,ssim_tail_gap,0.03359776362776756
trajectory,Hard stride8 Top10,1,16,patch_count,64
trajectory,Hard stride8 Top10,1,16,global_mse_mean,0.0013000026810914278
trajectory,Hard stride8 Top10,1,16,global_psnr,34.88115743342655
trajectory,Hard stride8 Top10,1,16,top10_mean,0.001799736637622118
trajectory,Hard stride8 Top10,1,16,top10_psnr,33.46851033555572
trajectory,Hard stride8 Top10,1,16,top10_over_mean,1.3657472133636475
trajectory,Hard stride8 Top10,1,16,p95_over_mean,1.344510348746279
trajectory,Hard stride8 Top10,1,16,p99_over_mean,1.462113921697492
trajectory,Hard stride8 Top10,1,16,max_over_mean,1.5138118267059326
trajectory,Hard stride8 Top10,1,16,cv,0.203801229596138
trajectory,Hard stride8 Top10,1,16,gini,0.1133206498963889
trajectory,Hard stride8 Top10,1,16,top10_energy_share,0.14937859773635864
trajectory,Hard stride8 Top10,1,16,p50,0.0012092207907699049
trajectory,Hard stride8 Top10,1,16,p75,0.0014565779129043221
trajectory,Hard stride8 Top10,1,16,p90,0.0018015212379395961
trajectory,Hard stride8 Top10,1,16,p95,0.002082342631183564
trajectory,Hard stride8 Top10,1,16,p99,0.0028179712453857055
trajectory,Hard stride8 Top10,1,32,patch_count,16
trajectory,Hard stride8 Top10,1,32,global_mse_mean,0.0013000026810914278
trajectory,Hard stride8 Top10,1,32,global_psnr,34.88115743342655
trajectory,Hard stride8 Top10,1,32,top10_mean,0.0016269119223579764
trajectory,Hard stride8 Top10,1,32,top10_psnr,33.906959495584815
trajectory,Hard stride8 Top10,1,32,top10_over_mean,1.2404705286026
trajectory,Hard stride8 Top10,1,32,p95_over_mean,1.2135757987539235
trajectory,Hard stride8 Top10,1,32,p99_over_mean,1.2781232273606462
trajectory,Hard stride8 Top10,1,32,max_over_mean,1.2942601442337036
trajectory,Hard stride8 Top10,1,32,cv,0.14416168630123138
trajectory,Hard stride8 Top10,1,32,gini,0.07871533091568095
trajectory,Hard stride8 Top10,1,32,top10_energy_share,0.155058816075325
trajectory,Hard stride8 Top10,1,32,p50,0.0011970734922215343
trajectory,Hard stride8 Top10,1,32,p75,0.0014318266476038843
trajectory,Hard stride8 Top10,1,32,p90,0.0017740650335326793
trajectory,Hard stride8 Top10,1,32,p95,0.002028272056486457
trajectory,Hard stride8 Top10,1,32,p99,0.0024809405230917033
trajectory,Hard stride8 Top10,5,16,patch_count,64
trajectory,Hard stride8 Top10,5,16,global_mse_mean,0.001168226357549429
trajectory,Hard stride8 Top10,5,16,global_psnr,35.34532990751851
trajectory,Hard stride8 Top10,5,16,top10_mean,0.0016544864047318697
trajectory,Hard stride8 Top10,5,16,top10_psnr,33.83396788507937
trajectory,Hard stride8 Top10,5,16,top10_over_mean,1.394648551940918
trajectory,Hard stride8 Top10,5,16,p95_over_mean,1.3723932600620556
trajectory,Hard stride8 Top10,5,16,p99_over_mean,1.4976137731059023
trajectory,Hard stride8 Top10,5,16,max_over_mean,1.551886796951294
trajectory,Hard stride8 Top10,5,16,cv,0.2172120064496994
trajectory,Hard stride8 Top10,5,16,gini,0.12050674154826753
trajectory,Hard stride8 Top10,5,16,top10_energy_share,0.1525396853685379
trajectory,Hard stride8 Top10,5,16,p50,0.0010783711913973093
trajectory,Hard stride8 Top10,5,16,p75,0.0013101632648613304
trajectory,Hard stride8 Top10,5,16,p90,0.0016448617912828921
trajectory,Hard stride8 Top10,5,16,p95,0.0019154587993398307
trajectory,Hard stride8 Top10,5,16,p99,0.002658303310163312
trajectory,Hard stride8 Top10,5,32,patch_count,16
