method,image_index,global_mse,global_psnr,global_ssim,global_ms_ssim,global_dists,global_gmsd,full_lpips,patch_ssim_mean,patch_ssim_median,patch_ssim_p10,patch_ssim_bottom10_mean,patch_ssim_min,ssim_tail_gap,patch_lpips_top10_mean,patch_lpips_max,patch_mse_top25,patch_mse_p95,top25_local_psnr,gini,cv,top10_over_mean,top10_energy_share,global_ciede2000_mean,patch_ciede2000_mean,patch_ciede2000_p95,top10_patch_ciede2000,max_patch_ciede2000,mean_signed_delta_a,mean_signed_delta_b
JPEG Global,10,0.00023678014986217022,36.25654708902965,0.9404114484786987,0.9794992804527283,nan,nan,0.0014286087825894356,0.9312894344329834,0.9290728569030762,0.9087361097335815,0.8884994387626648,0.868635892868042,0.04057341814041138,0.0008112915093079209,0.0008414211915805936,0.0002678301534615457,0.00027044006856158376,35.721405298454464,0.06210276034122939,0.10901313746140318,1.1441595194189618,0.14301993992737022,4.863624572753906,4.939264297485352,6.38882577419281,6.491027355194092,8.390213966369629,-0.07748585194349289,0.23504918813705444
JPEG Global,11,0.0002707231615204364,35.674745868958624,0.9221689701080322,0.9727870225906372,nan,nan,0.0025318320840597153,0.917219340801239,0.9304593801498413,0.8346975147724152,0.791451096534729,0.7853312492370605,0.1390082836151123,0.0025629429146647453,0.0031075053848326206,0.00030065717874094844,0.00031133415905060247,35.21928422118298,0.041714764780549037,0.0760786367326511,1.1528177749685782,0.14410222187107227,4.314568042755127,4.372470855712891,6.032849669456482,6.130342483520508,7.732263565063477,-0.2262396216392517,0.1326727271080017
JPEG Global,12,0.0002278035826748237,36.42439450038871,0.9521559476852417,0.983690619468689,nan,nan,0.0024584196507930756,0.9421715140342712,0.9417576789855957,0.8967328667640686,0.8799299001693726,0.8721141815185547,0.061827778816223145,0.003976215608417988,0.005266908556222916,0.00028121666400693357,0.00028928800020366907,35.50958947977143,0.08680411301908192,0.15971864331687594,1.2912468213049841,0.16140585266312302,4.723769187927246,4.80225133895874,6.349034905433655,6.493834018707275,8.939949035644531,-0.2173609733581543,0.19810357689857483
JPEG Global,13,0.0003390108176972717,34.697864434155775,0.976470410823822,0.9903594851493835,nan,nan,0.002160631585866213,0.9732387065887451,0.9748937487602234,0.9630763530731201,0.9607279300689697,0.9600638747215271,0.014165818691253662,0.002020907588303089,0.0022868148516863585,0.00042148723150603473,0.00044394287397153676,33.75215577315549,0.09475132733901369,0.1694779333678324,1.3103051076829775,0.16378813846037218,4.078547477722168,4.103410720825195,5.800643444061279,5.900155544281006,7.8432464599609375,-0.5778745412826538,0.4495907723903656
JPEG Global,14,0.0002339984057471156,36.30787101468443,0.8958792686462402,0.963250994682312,nan,nan,0.0035994243808090687,0.8892970085144043,0.8942914009094238,0.8373538851737976,0.8225680589675903,0.8095414042472839,0.0717233419418335,0.002164775040000677,0.0025619009975343943,0.00026264291955158114,0.00026366233942098916,35.80634302613113,0.058697582831179373,0.10402277367362013,1.1272003750999275,0.14090004688749094,3.610442876815796,3.6655220985412598,5.028767466545105,5.155946254730225,7.382035732269287,-0.5075628757476807,0.4440757632255554
JPEG Global,15,0.0003267148567829281,34.85831116298543,0.9775989055633545,0.9920617938041687,nan,nan,0.0019263934809714556,0.971744179725647,0.976366400718689,0.950607568025589,0.9487414360046387,0.9477750062942505,0.027624964714050293,0.0009130322723649442,0.0009409021586179733,0.00037834548857063055,0.00038505555858137086,34.2211144023629,0.07726956193564463,0.1364079743012708,1.179176346774921,0.14739704334686513,4.403765678405762,4.444047451019287,6.395403742790222,6.530208110809326,9.190740585327148,-0.18001846969127655,0.07826009392738342
JPEG Global,16,0.00024277767806779593,36.14791246499719,0.9462288618087769,0.9808354377746582,nan,nan,0.0031929113902151585,0.9389153122901917,0.9487206935882568,0.888683557510376,0.8784005045890808,0.8775609731674194,0.07032018899917603,0.0009328763699159026,0.0010054127778857946,0.00029779080068692565,0.0003020845615537837,35.260887225429244,0.09663110428546902,0.1705674247894501,1.2860844443922141,0.16076055554902677,4.540150165557861,4.60341215133667,6.266319394111633,6.377645015716553,8.438407897949219,-0.23735681176185608,0.21280477941036224
JPEG Global,17,0.00024436929379589856,36.11953366239648,0.8967509269714355,0.9624655246734619,nan,nan,0.0029556849040091038,0.8902879953384399,0.9135159254074097,0.7839059233665466,0.7760881185531616,0.7711212038993835,0.13742780685424805,0.0019298134138807654,0.002183883683755994,0.0002896623045671731,0.0002909091199398972,35.381080183745766,0.0886066067005626,0.15548534432657685,1.1996693504608176,0.1499586688076022,3.6678972244262695,3.7330105304718018,5.383843302726746,5.535072326660156,8.337074279785156,-0.08481655269861221,0.08143533021211624
JPEG Global,18,0.00032980050309561193,34.81748686194588,0.974897563457489,0.9906966090202332,nan,nan,0.0025631741154938936,0.9710925817489624,0.9722450375556946,0.9576300978660583,0.949424147605896,0.9461191892623901,0.022820889949798584,0.0008273232378996909,0.0009058972937054932,0.0003921097668353468,0.00041427071118960157,34.06592339975056,0.086818094094748,0.15612563745117317,1.2657487375299554,0.15821859219124443,3.7961103916168213,3.7975924015045166,6.111334443092346,6.2591962814331055,8.268566131591797,-0.6524782776832581,0.5386947393417358
JPEG Global,19,0.0004941223305650055,33.061655188650505,0.9759652018547058,0.9907057285308838,nan,nan,0.0028949338011443615,0.9716007709503174,0.9734475016593933,0.9602671265602112,0.9565117359161377,0.9538611173629761,0.016935765743255615,0.00103917031083256,0.0010767157655209303,0.0006478808354586363,0.0006605570233659819,31.885048664471114,0.1231237903447602,0.2323789192794079,1.4457426220670655,0.1807178277583832,3.3802900314331055,3.3789446353912354,5.416951775550842,5.580776691436768,8.033916473388672,-0.7157091498374939,0.5326197743415833
