method,image_index,global_ciede2000,ciede2000_top10,ciede2000_p95,global_chroma,chroma_top10,chroma_p95,global_mse,global_psnr,global_ssim,global_ms_ssim,full_lpips,top25_local_psnr,patch_mse_p95,gini,cv,top10_over_mean,top10_energy_share,ber50,ber40,ber30
Hard Top10 incumbent,13,3.8201489448547363,5.000199794769287,4.935299754142761,0.0106132123619318,0.013578377664089203,0.0133987320587039,0.00019051360141020268,37.200740131299305,0.9065389633178711,0.9668663740158081,0.004970905836671591,36.60801907299964,0.0002234946223325096,0.06877170398304461,0.12218837109355657,1.1770759154735393,0.1471344894341924,0.009375,0.028125,0.09375
Hard Top10 incumbent,14,3.8838930130004883,5.615691661834717,5.488884329795837,0.011527569964528084,0.016308899968862534,0.01579247834160924,0.00023754971334710717,36.24245489310634,0.9704107642173767,0.9896060824394226,0.0017845297697931528,35.272558200370014,0.00030811463511781767,0.11108201528815026,0.19378200165754927,1.3037333078437154,0.16296666348046443,0.00625,0.025,0.0875
Hard Top10 incumbent,15,3.8654143810272217,5.133393287658691,5.045266509056091,0.009502642787992954,0.01260879822075367,0.012379949446767569,0.00017291567928623408,37.62165624894054,0.9619514346122742,0.9873957633972168,0.0020408136770129204,37.10548563133789,0.00019784730102401227,0.05905982681825045,0.1037546196728701,1.1601712272233728,0.1450214034029216,0.021875,0.05,0.128125
Hard Top10 incumbent,16,3.6400232315063477,5.329873561859131,5.189571976661682,0.012060385197401047,0.01701662316918373,0.016187951434403658,0.0003576750459615141,34.4651135836726,0.9447396993637085,0.9803667068481445,0.0022316821850836277,32.9510766638176,0.0005379961658036336,0.17335434418636178,0.30593770406062365,1.530878233514253,0.19135977918928163,0.0125,0.0625,0.125
Hard Top10 incumbent,17,3.5176658630371094,5.17667293548584,5.061671733856201,0.010749908164143562,0.016923818737268448,0.016191093251109123,0.0002198835281888023,36.578073030841736,0.9548587799072266,0.985002875328064,0.0019400521414354444,35.83495194463039,0.0002679001772776246,0.0750179884762404,0.1381385623659083,1.2597108900627603,0.15746386125784503,0.015625,0.0625,0.125
Hard Top10 incumbent,18,3.842578411102295,5.642043590545654,5.551815152168274,0.011226112022995949,0.014925358816981316,0.014640267239883542,0.00023359981423709542,36.315275069185276,0.9699134230613708,0.9896965026855469,0.003880521282553673,35.37112737263758,0.00030331355083035305,0.09131945763464754,0.17443700441794865,1.3601601406472332,0.17002001758090415,0.015625,0.040625,0.096875
Hard Top10 incumbent,19,3.9583492279052734,5.348326206207275,5.262198328971863,0.010381803847849369,0.013770382851362228,0.01350145461037755,0.00020422077795956284,36.899000737372695,0.9801609516143799,0.9932574033737183,0.001265326514840126,36.21048818256013,0.0002481076880940236,0.07509024764334686,0.13366113510859542,1.2280292478877588,0.15350365598596985,0.00625,0.04375,0.09375
Hard Top10 incumbent,20,3.909498691558838,5.378070831298828,5.279219269752502,0.011806147173047066,0.016391269862651825,0.015907349530607462,0.0002676465956028551,35.724382763616156,0.9875869750976562,0.995768666267395,0.0007642418495379388,34.97953300838709,0.0003226096960133873,0.09172276400306259,0.1697289087495318,1.2668033514347117,0.15835041892933896,0.021875,0.0375,0.125
Hard Top10 incumbent,21,3.022379159927368,4.326700687408447,4.214774250984192,0.011107809841632843,0.014865128323435783,0.01432458939962089,0.00023110199254006147,36.361963100577874,0.9760794043540955,0.9916032552719116,0.0014143635053187609,35.8233010957145,0.0002696907758945599,0.0640606013760265,0.11315897565861344,1.171657503169794,0.14645718789622425,0.009375,0.05625,0.121875
Hard Top10 incumbent,22,3.121354818344116,4.949790954589844,4.855913400650024,0.009704142808914185,0.013219984248280525,0.012983005726709962,0.00021288990683387965,36.71844928088491,0.9318479299545288,0.9765529036521912,0.0020295786671340466,36.084451013077214,0.00024802701955195516,0.07345646435523309,0.1281155578103804,1.1795912152172723,0.14744890190215904,0.0125,0.034375,0.10625
Hard Top10 incumbent,23,3.800455093383789,5.273794174194336,5.177358627319336,0.01028553955256939,0.013561978004872799,0.013325338019058108,0.0002072642819257453,36.834755338882424,0.9508842825889587,0.9834994077682495,0.001113520236685872,35.9847980389607,0.00026202477602055296,0.08703065076831652,0.15476207587174745,1.2652181677104657,0.1581522709638082,0.0125,0.040625,0.11875
Hard Top10 incumbent,24,3.8363077640533447,5.217921733856201,5.12283992767334,0.011111631989479065,0.01541067473590374,0.015106776729226112,0.00023883242101874202,36.21906718942124,0.9833125472068787,0.9941905736923218,0.0020416472107172012,35.154672892596125,0.00031279160612029955,0.12206161730180363,0.2291212158052392,1.4165542814444625,0.1770692851805578,0.009375,0.05,0.109375
Hard Top10 incumbent,25,3.588120937347412,5.263232707977295,5.140643000602722,0.011130324564874172,0.016446145251393318,0.016064738854765892,0.0002417759969830513,36.1658681718595,0.9587985873222351,0.9861146807670593,0.0020700350869446993,34.826493775967826,0.0003358091926202178,0.12907485728645615,0.23806371212324068,1.4469453967679582,0.18086817459599477,0.015625,0.05,0.121875
Hard Top10 incumbent,26,4.31631326675415,5.790628433227539,5.6887946128845215,0.011627543717622757,0.015294562093913555,0.015048214234411716,0.00016851512191351503,37.73361121089845,0.9227298498153687,0.973137378692627,0.002060108119621873,37.05255147041707,0.00020290620159357786,0.06151940099358108,0.12010426367099576,1.2505866106050796,0.15632332632563495,0.021875,0.0625,0.13125
Hard Top10 incumbent,27,3.1646523475646973,5.051907539367676,4.948616981506348,0.012132258154451847,0.016631705686450005,0.016414891462773085,0.00020830125140491873,36.81308120947029,0.9313461184501648,0.9791260957717896,0.0009216431062668562,36.29573926052237,0.00024051282525761053,0.04781304410806353,0.08630740187566008,1.1592669563706517,0.14490836954633146,0.0125,0.065625,0.121875
Hard Top10 incumbent,28,3.269686698913574,5.7668137550354,5.6507368087768555,0.012554185464978218,0.01791541464626789,0.01746562635526061,0.0003528970992192626,34.52351911484874,0.93914794921875,0.9774324297904968,0.002671614056453109,34.00410751740121,0.00040421860467176884,0.06447080974521117,0.11378782428745102,1.146251937968833,0.14328149224610412,0.015625,0.065625,0.13125
