method,image_index,global_mse,top25_local_psnr,patch_mse_p95,patch_mse_p99,full_lpips,ciede2000_global,ciede2000_top10,gini,ber30
Global+OKLab-only,44,0.0002879927633330226,34.68034879727092,0.0003482117172097787,0.00037468473601620644,0.0012573301792144775,2.6654018376752333,4.91403948740663,0.09025970041400293,0.1125
Global+OKLab-only,45,0.00019478627655189484,36.56461922867499,0.00022558873388334177,0.00022629978993791156,0.002472622087225318,3.498015244302671,4.954428825218943,0.060222296258509035,0.125
Global+OKLab-only,46,0.0003737366059795022,33.81361148795883,0.000426635320764035,0.00043175428872928024,0.0032351133413612843,3.9033785474275646,5.002343261742623,0.05226609330959031,0.109375
Global+OKLab-only,47,0.00019221495313104242,36.489392014358835,0.00023227281053550541,0.0002336930891033262,0.0015883255982771516,3.775151257053267,5.346220931552244,0.06812766296651095,0.128125
Global+OKLab-only,48,0.0003163976070936769,34.205790321288276,0.00038344739004969597,0.00038483815733343364,0.0024835786316543818,3.853568751219427,5.550790650422729,0.10332485603442644,0.0875
Global+OKLab-only,49,0.00022274414368439466,35.90020784319683,0.00026721319591160864,0.000287613456021063,0.0024857274256646633,3.655130604745409,5.219531751619979,0.05519043214617392,0.103125
Hard Local-Tail,0,0.00020675722043961287,36.31970959423985,0.00023601710199727677,0.0002477827358234208,0.002028833609074354,3.940016269683838,5.240839958190918,0.05332794423143581,0.18125
Hard Local-Tail,1,0.00019285554299131036,36.55208142015242,0.00023002392481430434,0.0002424914033326786,0.0012216311879456043,3.406252145767212,4.783698558807373,0.06105421258960305,0.15625
Hard Local-Tail,2,0.00021223239309620112,36.223858533037784,0.00023917738144518808,0.0002443032819428481,0.0024945377372205257,3.4989986419677734,4.944817066192627,0.06800599908576732,0.140625
Hard Local-Tail,3,0.00018558755982667208,36.95494817458144,0.00020488148220465519,0.00020638475034502336,0.0019852458499372005,4.028998374938965,5.520200729370117,0.03852848365449712,0.15625
Hard Local-Tail,4,0.00017894919437821954,36.98248260340229,0.0002071909730148036,0.0002123406135069672,0.0019723931327462196,3.3951187133789062,4.96370792388916,0.05806739486449401,0.134375
Hard Local-Tail,5,0.00021824853320140392,35.78639067620549,0.0002699341202969663,0.0002821257905452512,0.0033618630841374397,3.641507148742676,5.215174674987793,0.091201711395005,0.140625
Hard Local-Tail,6,0.00025019864551723003,34.593405344926886,0.0003860430879285559,0.0004605215712217614,0.0022083879448473454,3.250412702560425,4.717546463012695,0.15780464385409496,0.159375
Hard Local-Tail,7,0.00024363638658542186,34.55907848161837,0.00035968248994322494,0.0005142276888363994,0.0018042158335447311,3.38326358795166,5.055723667144775,0.14767930231537554,0.153125
Hard Local-Tail,8,0.00018770905444398522,36.52652533073779,0.000226693937293021,0.00023286311406991444,0.002325477311387658,4.441585540771484,5.882203102111816,0.07432278869539287,0.16875
