replicate,global_bootstrap_mse,ours_bootstrap_mse,global_paper_psnr,ours_paper_psnr,ours_minus_global_paper_psnr
7887,0.0002290608250768855,0.0002007483851048164,36.40049179285984,36.973479396626715,0.572987603766876
7888,0.00023333186807576568,0.00020331842271843924,36.32025941942295,36.91823268078793,0.5979732613649773
7889,0.00023945401975652202,0.00020862232457147912,36.207778679827314,36.80639219785645,0.5986135180291328
7890,0.00022684895870042965,0.000196716854989063,36.44263209925385,37.06158427497348,0.6189521757196275
7891,0.00023229733575135469,0.00020292896660976112,36.339557711516385,36.9265595621514,0.5870018506350121
7892,0.000228036294283811,0.00019961222657002508,36.41996025136634,36.998128609981954,0.5781683586156134
7893,0.0002498256714898162,0.00021895524725550785,36.02362936604285,36.596446424937525,0.5728170588946782
7894,0.0002486284263432026,0.0002160668236319907,36.04449218822993,36.65411912522934,0.6096269369994118
7895,0.00023014926846371965,0.0002010006140335463,36.379904011857136,36.9680261585825,0.588122146725361
7896,0.00024861939338734375,0.00021613441087538375,36.04464997526205,36.65276083354721,0.6081108582851655
7897,0.000231961949612014,0.00020283762802137062,36.34583249716108,36.92851476724308,0.582682270081996
7898,0.0002550893693114631,0.00022099140041973442,35.933076399616375,36.55624625966118,0.6231698600448041
7899,0.0002299551945179701,0.00020059171569300816,36.38356775587616,36.976870070240054,0.5933023143638962
7900,0.00025328225601697343,0.00021941344224615022,35.9639523414881,36.58736769129147,0.6234153498033663
7901,0.00025675315002445133,0.00022277792391832917,35.90484219474229,36.52127847589294,0.616436281150655
7902,0.0002359009813517332,0.0002049045718740672,36.272702524388805,36.884483514205314,0.6117809898165092
7903,0.00022008445288520306,0.0001926647310028784,36.574106356140625,37.151977795464944,0.5778714393243192
7904,0.0002575948930461891,0.00022421897301683202,35.8906275134268,36.493276409476316,0.6026488960495158
7905,0.0002375539208878763,0.00020824585837544873,36.24237797044751,36.81423627148425,0.5718583010367411
7906,0.0002383582535549067,0.0002084293999359943,36.22769805300639,36.81041021795646,0.5827121649500668
7907,0.00023094817210221662,0.00020222577004460617,36.364854707374704,36.94163502181989,0.5767803144451875
7908,0.00023542107461253182,0.00020563767291605472,36.28154662230671,36.868973194394854,0.5874265720881411
7909,0.00022795897239120678,0.00019940233003580942,36.4214330943568,37.002697712210406,0.5812646178536056
7910,0.0002468278299784288,0.00021626800269586966,36.076058749278445,36.65007730586608,0.5740185565876317
7911,0.00021797739813337103,0.00019077695993473752,36.61588535637775,37.1947407605437,0.5788554041659495
7912,0.00023899021820398048,0.0002094418727210723,36.216198742274756,36.789364875389666,0.5731661331149098
7913,0.00024239247548393905,0.0002109270205255598,36.15480865968315,36.75867781979447,0.6038691601113229
7914,0.00023681228514760733,0.00020667829783633352,36.25595771402577,36.84705123879481,0.5910935247690432
7915,0.0002494960802141577,0.0002166797302197665,36.02936273105658,36.64181713809128,0.6124544070346971
7916,0.0002299246218171902,0.00019983498204965145,36.38414519175369,36.9932848417164,0.6091396499627137
7917,0.00022921972326003014,0.0001999972260091454,36.39748016135421,36.98976028022398,0.5922801188697733
7918,0.0002465713390847668,0.0002153199800522998,36.08057406250937,36.66915669090311,0.5885826283937377
7919,0.00024618336639832707,0.00021519889211049303,36.08741293912661,36.671599688399326,0.5841867492727175
7920,0.00026104996708454565,0.00022641516581643374,35.83276357212895,36.45094486451087,0.6181812923819265
7921,0.0002419541121344082,0.00021112968272063882,36.16266992434852,36.754507049416894,0.5918371250683734
7922,0.0002454183966619894,0.00021401436533778905,36.10092885499278,36.695570744192956,0.5946418892001759
7923,0.0002288794468040578,0.0001995081201312132,36.40393204880509,37.00039423503994,0.5964621862348523
7924,0.00023552815546281635,0.00020447748654987664,36.27957169081824,36.893545018639664,0.6139733278214266
7925,0.00024629825755255295,0.00021672788105206564,36.08538660584721,36.64085215084561,0.5554655449983983
7926,0.00023722085024928673,0.00020613495667930692,36.24847141824411,36.858483536569565,0.6100121183254572
7927,0.000249847446102649,0.00021929443842964248,36.023250854817334,36.58972382412513,0.5664729693077959
7928,0.00024054089502897113,0.00020978065178496762,36.1881107739585,36.78234569576733,0.5942349218088339
7929,0.00023970386886503547,0.00021108115499373525,36.203249563160476,36.75550538116131,0.5522558180008375
7930,0.0002319196396274492,0.0002020410669501871,36.34662472488915,36.94560346706138,0.5989787421722284
7931,0.00023043052322464064,0.00020127035793848335,36.37459994042091,36.96220181056031,0.5876018701394017
7932,0.0002454617043258622,0.00021548984455876052,36.100162546500954,36.665731921204944,0.5655693747039905
7933,0.00024203941342420876,0.00021107265405589714,36.16113908238941,36.755680289467975,0.5945412070785636
7934,0.00022852264577522875,0.00019920090708183124,36.41070756434828,37.00708688303199,0.5963793186837094
